,accuracy,batch_run,dataset,f1,f1_mean,f1_std,logloss,model,n_total_train,seed_initialization_run,selector,test_base_rate,test_positives,test_size,train_base_rate,train_fraction,train_positives,train_size
2,0.896,2,skewed_sklearn_10_to_1,0.5438596491228069,0.5438596491228069,,0.279183690738149,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.2619047619047619,0.042,11.0,42.0
3,0.901,2,skewed_sklearn_10_to_1,0.5714285714285714,0.5714285714285714,,0.26172192163566516,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.23076923076923078,0.052,12.0,52.0
4,0.912,2,skewed_sklearn_10_to_1,0.6,0.6,,0.25343543267025104,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1935483870967742,0.062,12.0,62.0
5,0.907,2,skewed_sklearn_10_to_1,0.5714285714285714,0.5714285714285714,,0.25592909819427584,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.16666666666666666,0.072,12.0,72.0
6,0.919,2,skewed_sklearn_10_to_1,0.5846153846153846,0.5846153846153846,,0.23389388890658164,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.15853658536585366,0.082,13.0,82.0
7,0.927,2,skewed_sklearn_10_to_1,0.6331658291457286,0.6331658291457286,,0.22385312583306718,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.15217391304347827,0.092,14.0,92.0
8,0.928,2,skewed_sklearn_10_to_1,0.6363636363636364,0.6363636363636364,,0.2201561410291076,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.1568627450980392,0.102,16.0,102.0
9,0.932,2,skewed_sklearn_10_to_1,0.6565656565656566,0.6565656565656566,,0.20861569622818688,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.15178571428571427,0.112,17.0,112.0
10,0.933,2,skewed_sklearn_10_to_1,0.6598984771573605,0.6598984771573605,,0.20350106718805727,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.13934426229508196,0.122,17.0,122.0
11,0.935,2,skewed_sklearn_10_to_1,0.6829268292682926,0.6829268292682926,,0.19721845190706472,logistic_regression,1000.0,2.0,random,0.104,104.0,1000.0,0.14393939393939395,0.132,19.0,132.0
